Research ID,Race,International,Sex,Miles,Commuter,Dorm,IowaResident,SchoolofMajor,Athlete,HSRank,ACTComp,ACTMath,ACTEng,HSGPA,BVGPA,Hrs,Returned
3854,E,0,1,110-119,0,D,0,H,2,0.09,24,27,23,4.17,2.6,15,1
3855,A,0,0,40-49,0,A,1,K,2,0.039,22,23,22,3.95,4,14,1
3856,A,0,0,90-99,0,A,1,J,2,0.533,22,23,22,3.1,0.75,12,1
3857,A,0,1,160-169,0,D,1,K,1,0.382,24,30,19,3.51,3.785,14,1
3858,A,0,1,130-139,0,C,0,H,2,0.108,30,28,31,3.9,3.2,15,0
3859,A,0,1,70-79,0,C,1,H,1,0.243,26,26,25,3.59,3.25,12,1
3860,A,0,0,30-39,0,C,1,G,2,0.514,18,17,16,3.03,2.642,14,1
3861,A,0,0,80-89,0,A,0,F,2,0.074,24,23,21,3.83,2.625,16,1
3862,A,0,1,70-79,0,E,0,F,1,0.382,29,24,30,3.49,2.545,11,0
3863,A,0,0,50-59,0,B,1,G,2,0.006,27,29,26,4,4,14,1
3864,A,0,0,90-99,0,A,1,H,1,0.306,22,25,20,3.59,3,13,0
3865,I,0,0,350-399,0,A,0,H,1,0.206,14,15,14,3.23,1.8,15,1
3866,A,0,0,80-89,0,A,1,I,1,0.5,20,20,21,2.66,3,12,1
3867,A,0,0,190-199,0,A,1,J,1,0.39,18,16,17,2.6,2.4,15,1
3868,I,0,0,350-399,0,A,0,F,2,0.073,20,18,23,3.57,2.333,15,1
3869,A,0,0,20-29,0,A,1,J,1,0.077,28,23,31,3.83,3.625,16,1
3872,A,0,0,10-19,0,A,1,G,1,0.459,15,17,13,2.89,3,12,0
3873,A,0,0,90-99,0,C,1,H,2,0.253,22,19,24,3.47,3.75,12,1
3874,A,0,0,90-99,0,D,1,J,1,0.412,22,22,20,3.72,3,15,1
3876,A,0,0,0-9,0,C,1,G,1,0.379,20,20,20,3.59,3.375,8,1
3877,A,0,0,30-39,0,A,1,I,1,0.179,21,19,19,3.79,4,12,1
3879,A,0,0,100-109,0,A,1,J,1,0.356,25,25,25,3.26,2.4,15,1
3881,E,0,0,50-59,0,A,1,H,1,0.154,23,19,23,3.64,2.8,15,1
3882,A,0,1,40-49,0,E,1,K,2,0.164,27,27,25,3.52,3.5,14,1
3883,A,0,0,10-19,0,C,1,G,2,0.026,20,19,20,3.76,3.333,15,1
3884,A,0,1,40-49,0,E,1,G,1,0.381,23,20,22,3.22,2.5,14,1
3886,A,0,0,60-69,0,A,1,J,2,0.425,23,25,21,3.32,2.6,15,1
3887,A,0,1,100-109,0,C,1,J,1,0.422,21,20,21,3.32,,0,0
3888,G,0,1,40-49,0,E,1,J,1,0.5,16,17,15,2.9,0.411,17,0
3889,A,0,0,200-224,0,A,0,F,1,0.375,25,22,23,3.7,3.6,15,1
3891,A,0,1,110-119,0,B,0,K,2,0.067,25,29,23,3.87,3.714,14,0
3892,A,0,0,40-49,0,A,1,F,2,0.156,29,24,29,3.95,2.9,10,1
3894,A,0,1,100-109,0,E,1,G,1,0.778,21,19,21,2.08,0,12,0
3897,A,0,0,60-69,0,D,1,H,2,0.279,22,19,23,3.84,3.586,14.5,1
3898,A,0,1,60-69,0,E,1,F,2,0.094,21,25,18,3.58,3.5,12,1
3900,A,0,0,110-119,0,B,1,J,1,0.069,24,22,23,3.82,3.6,15,1
3901,A,0,1,40-49,0,B,1,K,1,0.356,25,22,24,3.15,2.6,15,1
3902,A,0,0,40-49,0,A,1,G,1,0.066,25,25,22,3.91,3.333,15,0
3903,A,0,0,70-79,0,C,1,K,1,0.688,18,15,20,3.33,2.785,14,1
3904,A,0,0,170-179,,,0,H,1,0.333,26,25,24,3.45,,0,0
3905,A,0,1,500-999,0,E,0,F,2,0.421,16,17,14,2.98,0,13,0
3906,A,0,1,60-69,0,E,1,K,1,0.385,22,20,17,3.51,1.642,14,0
3907,A,0,1,90-99,0,D,1,J,1,,27,24,28,3.68,1,12,1
3909,A,0,0,110-119,0,C,1,K,1,0.33,15,14,16,3.07,2.181,11,0
3910,A,0,0,100-109,0,A,0,J,1,0.012,32,30,33,4.4,3,12,1
3911,A,0,0,130-139,0,A,1,G,1,0.07,23,23,24,3.86,3.786,14,1
3912,A,0,1,120-129,0,E,1,H,2,0.658,19,21,17,2.54,2.333,9,0
3916,A,0,0,20-29,0,A,1,K,2,0.373,20,19,21,3.34,3.071,14,1
3917,A,0,1,250-274,0,E,0,J,1,0.473,23,26,22,3.27,3,15,1
3918,A,0,1,60-69,0,C,1,K,2,0.429,21,24,17,2.92,2.692,13,1
3919,A,0,1,120-129,0,D,1,G,2,0.082,24,24,26,3.93,3.818,11,1
3920,A,0,0,40-49,0,C,1,I,1,0.678,21,19,17,2.8,2.4,15,1
3921,A,0,1,10-19,0,C,1,G,2,0.194,19,19,18,3.44,2.666,15,1
3922,A,0,0,0-9,1,,1,H,1,0.235,24,24,24,3.77,3.625,16,1
3923,A,0,1,60-69,0,C,1,F,2,0.2,25,18,27,3.52,3.812,16,1
3925,A,0,1,90-99,0,E,1,I,2,0.67,21,20,20,2.38,2.25,12,1
3926,I,0,0,500-999,0,A,0,K,1,0.167,19,19,20,3.38,2.923,13,1
3927,A,0,0,40-49,0,C,1,J,1,0.686,20,16,19,2.34,1.333,9,0
3928,A,0,1,100-109,0,E,1,K,2,0.54,22,26,21,2.66,0.692,13,0
3929,A,0,0,90-99,0,C,1,K,1,0.172,24,25,22,3.75,4,14,0
3931,A,0,0,90-99,0,A,1,G,1,0.009,31,32,31,4,4,15,1
3932,A,0,1,40-49,0,C,1,H,2,0.471,15,19,14,2.76,2.5,12,1
3934,A,0,1,10-19,0,D,1,K,1,0.313,18,18,16,3.32,3,12,1
3935,A,0,0,170-179,0,A,0,F,1,0.056,29,25,29,4,3.8,15,1
3936,A,0,1,60-69,0,C,1,G,2,0.424,18,17,16,3.13,1.2,15,0
3937,A,0,1,50-59,0,D,1,H,2,0.012,33,32,34,4,4,16,1
3938,A,0,1,0-9,0,E,1,K,1,,,,,,2.8,15,1
3939,A,0,1,80-89,0,D,1,G,2,0.423,25,21,24,3.23,2.307,13,1
3940,G,0,1,190-199,0,E,1,F,2,0.379,19,20,18,3.23,2.625,16,1
3941,A,0,1,160-169,0,C,0,K,2,0.222,26,27,25,3.75,3.5,14,1
3942,E,0,0,100-109,0,A,1,J,1,0.473,20,18,17,2.89,2.6,15,1
3944,A,0,0,130-139,0,A,1,J,1,0.429,16,16,16,3.4,3,15,1
3947,A,0,0,110-119,0,C,1,H,1,0.565,23,21,22,3,2.4,15,0
3949,A,0,1,250-274,0,E,1,K,1,0.205,28,31,25,3.17,2.714,14,1
3950,A,0,0,60-69,0,A,1,H,1,0.018,26,26,26,4,3,11,1
3952,A,0,1,100-109,0,E,1,H,2,0.697,19,20,16,2.32,2.6,15,1
3954,A,0,1,90-99,0,E,1,I,2,0.315,21,23,18,3.55,2.428,14,1
3955,A,0,1,40-49,0,E,1,K,2,0.985,19,16,19,2.14,2.5,8,1
3956,A,0,1,50-59,0,D,1,G,2,0.442,19,21,18,3.42,2.857,14,1
3958,A,0,0,40-49,0,A,1,K,1,0.556,20,17,18,3.28,3,14,0
3960,I,0,0,350-399,0,A,0,K,2,0.902,18,19,19,2.11,0.25,12,0
3961,A,0,0,50-59,0,A,1,J,1,0.395,19,16,17,2.86,3.4,15,1
3962,A,0,0,60-69,0,A,1,K,1,0.628,19,18,20,2.92,2.846,13,1
3963,A,0,0,100-109,0,A,1,G,2,0.664,24,25,24,2.38,0.214,14,1
3965,A,0,1,100-109,0,E,0,K,2,0.206,26,25,25,3.45,3.4,15,1
3966,A,0,0,130-139,0,A,1,J,1,0.32,19,13,25,3.44,2.687,16,1
3967,A,0,0,100-109,0,A,0,J,2,0.033,25,23,27,3.62,3.4,15,1
3970,A,0,0,190-199,0,C,1,F,2,0.083,21,22,21,3.88,4,15,1
3971,A,0,0,60-69,0,A,1,H,1,0.75,15,15,15,2.72,3,9,1
3973,A,0,1,70-79,0,C,1,H,2,0.292,27,23,25,3.47,3.2,15,1
3974,A,0,1,20-29,0,B,1,J,1,0.342,24,26,28,3.47,3.4,15,1
3975,A,0,0,60-69,0,C,1,H,1,0.05,23,24,26,3.76,4,13,1
3976,A,0,0,250-274,0,A,0,K,1,0.66,24,20,24,2.92,1.214,14,0
3977,G,0,1,400-499,0,E,0,K,2,0.536,23,20,20,3.04,2.785,14,1
3978,A,0,0,190-199,0,A,0,K,1,0.339,23,19,24,3.66,3.692,13,0
3979,A,0,0,500-999,0,A,0,F,1,,,,,2.98,3.076,13,1
3980,A,0,1,90-99,0,E,1,G,2,0.672,18,17,19,2.59,0.928,14,0
3981,A,0,0,40-49,0,C,1,H,2,0.5,23,24,22,3.13,2.2,15,1
3982,E,0,1,190-199,0,E,0,H,2,0.512,18,16,16,2.62,1.5,12,1
3983,A,0,1,50-59,0,C,1,I,2,0.246,20,17,21,3.61,3.4,10,1
3984,A,0,0,110-119,0,A,1,F,1,0.347,22,21,24,3.36,3.2,15,1
3985,G,0,1,70-79,0,E,1,G,2,0.42,18,17,19,3.45,2.7,10,1
3986,A,0,0,225-249,0,A,0,F,1,0.095,22,18,22,3.33,2.727,16.5,1
3987,A,0,0,40-49,0,C,1,I,1,0.629,18,14,19,2.76,0.857,14,0
3988,I,0,0,350-399,0,A,0,F,1,0.194,16,15,16,3.12,,0,0
